1,12,11/02/2021,17:23,DX500JX,B4,0
2,47,11/02/2021,17:25,DX500JX,A,0
3,47,11/02/2021,17:25,DX500JX,A,1
4,47,11/02/2021,17:26,DX500JX,A,1
5,47,11/02/2021,17:28,DX500JX,A,1
6,47,11/02/2021,17:34,cjdnvjds,A,0
7,47,11/02/2021,17:34,cjdnvjds,A,1
8,47,11/02/2021,17:34,cjdnvjds,A,1
9,47,11/02/2021,17:37,dajfbd,A,0
10,47,11/02/2021,17:37,dajfbd,A,1
11,47,11/02/2021,17:41,cvsdv,A,0
12,12,11/02/2021,17:42,vdvfsva,A,0
13,12,11/02/2021,17:43,dvdsvfsv,A,0
14,12,11/02/2021,17:43,dvdsvfsv,A,1
15,12,11/02/2021,17:44,dvdsvfsv,A,1
16,12,11/02/2021,17:46,vsvsvds,A,0
17,12,11/02/2021,17:46,vsvsvds,A,1
18,12,11/02/2021,17:47,vsvsvds,A,1
19,47,11/02/2021,17:48,VSFBFDBS,A,0
20,47,11/02/2021,17:48,VSFBFDBS,A,1
21,12,11/02/2021,18:27,ndjvds,47,0
22,12,11/02/2021,18:27,fdsvsvs,A,0
23,12,11/02/2021,18:27,fdsvsvs,A,1
24,12,11/02/2021,18:31,vsdgwdsv,A,0
25,12,11/02/2021,18:31,vsdgwdsv,A,1
26,12,11/02/2021,18:31,vsdgwdsv,A,1
27,12,11/02/2021,18:31,vsdgwdsv,A,1
